商品名,URL,小分類,効能効果１,効能効果２,特徴,エキス,生薬,添加物,1日容量,用法用量,使用上の注意,用法に関する注意
コタロー神秘湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00016247,神秘湯,,やや慢性的に経過し、咳嗽発作と共に、呼吸困難を訴えるもの。気管支炎、気管支喘息。,,水製乾燥エキス(3.4g),マオウ(5.0g)、キョウニン(4.0g)、コウボク(3.0g)、チンピ(2.5g)、カンゾウ(2.0g)、サイコ(2.0g)、ソヨウ(1.5g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー真武湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006244,真武湯,,冷え、倦怠感が強く、めまいや動悸があって尿量減少し、下痢しやすいもの。慢性下痢、胃下垂症、低血圧症、高血圧症、慢性腎炎、カゼ。,,水製乾燥エキス(2.4g),ブクリョウ(5.0g)、シャクヤク(3.0g)、ビャクジュツ(3.0g)、ブシ末2(1.0g)、ショウキョウ(0.8g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ブシを含む製剤との併用には、特に注意すること。,
コタロー大黄牡丹皮湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006245,大黄牡丹皮湯,,盲腸部に圧痛や宿便があり、大便は硬く、皮膚は紫赤色あるいは暗赤色を呈し、鬱血または出血の傾向があるもの。常習便秘、動脈硬化、月経不順による諸種の障害、更年期障害、湿疹、蕁麻疹、にきび、腫物、膀胱カタル。,,水製乾燥エキス(3.8g),トウガシ(6.0g)、トウニン(4.0g)、ボタンピ(4.0g)、ダイオウ(2.0g)、無水ボウショウ(1.8g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ダイオウを含む製剤との併用には、特に注意すること。8.3　ダイオウの瀉下作用には個人差が認められるので、用法及び用量に注意すること。,
コタロー大建中湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000588,大建中湯,,腹壁胃腸弛緩し、腹中に冷感を覚え、嘔吐、腹部膨満感があり、腸の蠕動亢進と共に、腹痛の甚だしいもの。胃下垂、胃アトニー、弛緩性下痢、弛緩性便秘、慢性腹膜炎、腹痛。,,水製乾燥エキス(2.1g),コウイ(20.0g)、カンキョウ(5.0g)、ニンジン(3.0g)、サンショウ(2.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,27.0g,通常、成人1日27.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー大柴胡湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006246,大柴胡湯,,肝臓部圧迫感、またはみぞおちが硬く張って、胸や脇腹にも痛みや圧迫感があり、便秘するもの、あるいはかえって下痢するもの、耳鳴、肩こり、疲労感、食欲減退などを伴うこともあるもの。高血圧、動脈硬化、常習便秘、肥満症、黄疸、胆石症、胆のう炎、胃腸病、気管支喘息、不眠症、神経衰弱、陰萎、痔疾、半身不随。,,水製乾燥エキス(6.0g),サイコ(6.0g)、ハンゲ(4.0g)、オウゴン(3.0g)、シャクヤク(3.0g)、タイソウ(3.0g)、キジツ(2.0g)、ダイオウ(2.0g)、ショウキョウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,9.0g,通常、成人1日9.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ダイオウを含む製剤との併用には、特に注意すること。8.3　ダイオウの瀉下作用には個人差が認められるので、用法及び用量に注意すること。,
コタロー大柴胡湯去大黄エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000193,大柴胡湯去大黄,,みぞおちが硬く張って、胸や脇腹あるいは肝臓部などに痛みや圧迫感があるもの。耳鳴り、肩こり、疲労感、食欲減退などを伴うこともあり、便秘しないもの。高血圧、動脈硬化、胃腸病、気管支喘息、黄疸、胆石症、胆のう炎、不眠症、神経衰弱、陰萎、肋膜炎、痔疾、半身不随。,,水製乾燥エキス(5.7g),サイコ(6.0g)、ハンゲ(4.0g)、オウゴン(3.0g)、シャクヤク(3.0g)、タイソウ(3.0g)、キジツ(2.0g)、ショウキョウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,9.0g,通常、成人1日9.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー大承気湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006247,大承気湯,,腹部がかたくつかえて、便秘するもの、あるいは肥満体質で便秘するもの。常習便秘、急性便秘、高血圧、神経症、食当り。,,水製乾燥エキス(2.3g),コウボク(5.0g)、キジツ(2.0g)、ダイオウ(2.0g)、無水ボウショウ(0.9g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ダイオウを含む製剤との併用には、特に注意すること。8.3　ダイオウの瀉下作用には個人差が認められるので、用法及び用量に注意すること。,
コタロー腸癰湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006251,腸癰湯,,盲腸部に急性または慢性の痛みがあるもの、あるいは月経痛のあるもの。,,水製乾燥エキス(3.7g),ヨクイニン(9.0g)、トウガシ(6.0g)、トウニン(5.0g)、ボタンピ(4.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー猪苓湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000194,猪苓湯,,咽喉がかわき、排尿痛あるいは排尿困難があり、尿の色は赤いか、または血液の混じるもの、あるいは腰や下肢に浮腫があるもの。腎炎、ネフローゼ、膀胱カタル、尿道炎、腎臓・膀胱結石による排尿困難。,,水製乾燥エキス(1.2g),カッセキ(3.0g)、ゼラチン(3.0g)、タクシャ(3.0g)、チョレイ(3.0g)、ブクリョウ(3.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー通導散エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00004760,通導散,,比較的体力があり下腹部に圧痛があって便秘しがちなものの次の諸症月経不順、月経痛、更年期障害、腰痛、便秘、打撲、高血圧の随伴症状（頭痛、めまい、肩こり）。,,水製乾燥エキス(6.5g),キジツ(3.0g)、ダイオウ(3.0g)、トウキ(3.0g)、カンゾウ(2.0g)、コウカ(2.0g)、コウボク(2.0g)、ソボク(2.0g)、チンピ(2.0g)、モクツウ(2.0g)、無水ボウショウ(1.8g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,12.0g,通常、成人1日12.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ダイオウを含む製剤との併用には、特に注意すること。8.4　ダイオウの瀉下作用には個人差が認められるので、用法及び用量に注意すること。,
コタロー桃核承気湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000589,桃核承気湯,,頭痛またはのぼせる傾向があり、左下腹部に圧痛や宿便を認め、下肢や腰が冷えて尿量減少するもの。常習便秘、高血圧、動脈硬化、腰痛、痔核、月経不順による諸種の障害、更年期障害、にきび、しみ、湿疹、こしけ、坐骨神経痛。,,水製乾燥エキス(3.0g),トウニン(5.0g)、ケイヒ(4.0g)、ダイオウ(3.0g)、カンゾウ(1.5g)、無水ボウショウ(0.9g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ダイオウを含む製剤との併用には、特に注意すること。8.4　ダイオウの瀉下作用には個人差が認められるので、用法及び用量に注意すること。,
コタロー当帰四逆加呉茱萸生姜湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000590,当帰四逆加呉茱萸生姜湯,,貧血、冷え症で頭痛、胃部圧重感、腰痛または下腹痛があって凍傷にかかりやすいもの。凍傷、慢性頭痛、坐骨神経痛、婦人下腹痛。,,水製乾燥エキス(6.0g),タイソウ(5.0g)、ケイヒ(3.0g)、シャクヤク(3.0g)、トウキ(3.0g)、モクツウ(3.0g)、カンゾウ(2.0g)、ゴシュユ(2.0g)、サイシン(2.0g)、ショウキョウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,9.0g,通常、成人1日9.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー当帰芍薬散料エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00004763,当帰芍薬散,,貧血、冷え症で胃腸が弱く、眼の周辺に薄黒いクマドリが出て、疲れやすく、頭重、めまい、肩こり、動悸などがあって、排尿回数多く尿量減少し、咽喉がかわくもの、あるいは冷えて下腹部に圧痛を認めるか、または痛みがあるもの、あるいは凍傷にかかりやすいもの。心臓衰弱、腎臓病、貧血症、産前産後あるいは流産による貧血症、痔核、脱肛、つわり、月経不順、月経痛、更年期神経症、にきび、しみ、血圧異常。,,水製乾燥エキス(5.5g),シャクヤク(4.0g)、タクシャ(4.0g)、ビャクジュツ(4.0g)、ブクリョウ(4.0g)、センキュウ(3.0g)、トウキ(3.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,9.0g,通常、成人1日9.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー人参湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006254,人参湯,,貧血、冷え症で胃部圧重感あるいは胃痛があり、軟便または下痢の傾向があるもの、あるいはときに頭重や嘔吐を伴うもの。慢性下痢、胃炎、胃アトニー症、貧血症、虚弱児の自家中毒、小児の食欲不振。,,水製乾燥エキス(3.2g),カンキョウ(3.0g)、カンゾウ(3.0g)、ニンジン(3.0g)、ビャクジュツ(3.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー人参養栄湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00016315,人参養栄湯,,やせて血色悪く、微熱、悪寒、咳嗽がとれずに倦怠感が著しく、食欲不振で精神不安、不眠、盗汗などもあり、便秘気味のもの。病後または産後の体力増強、虚弱体質。,,水製乾燥エキス(9.2g),ジオウ(4.0g)、トウキ(4.0g)、ビャクジュツ(4.0g)、ブクリョウ(4.0g)、ニンジン(3.0g)、ケイヒ(2.5g)、オンジ(2.0g)、シャクヤク(2.0g)、チンピ(2.0g)、オウギ(1.5g)、カンゾウ(1.0g)、ゴミシ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,15.0g,通常、成人1日15.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー排膿散及湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000591,排膿散及湯,,患部が発赤、腫脹して疼痛をともなった化膿症、瘍、せつ、面疔、その他せつ腫症。,,水製乾燥エキス(4.7g),キキョウ(4.0g)、カンゾウ(3.0g)、シャクヤク(3.0g)、タイソウ(3.0g)、キジツ(2.0g)、ショウキョウ(0.5g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,7.5g,通常、成人1日7.5gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー麦門冬湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00016317,麦門冬湯,,こみ上げてくるような強い咳をして顔が赤くなるもの、通常喀痰は少量でねばく、喀出困難であり、時には喀痰に血滴のあるもの、あるいはのぼせて咽喉がかわき、咽喉に異物感があるもの。気管支炎、気管支喘息、胸部疾患の咳嗽。,,水製乾燥エキス(9.0g),バクモンドウ(10.0g)、コウベイ(5.0g)、ハンゲ(5.0g)、タイソウ(3.0g)、カンゾウ(2.0g)、ニンジン(2.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,15.0g,通常、成人1日15.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.2、11.1.3参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー八味丸料エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00004453,八味丸,,疲労倦怠感がいちじるしく、四肢は冷えやすいのにかかわらず、時にはほてることもあり、腰痛があって咽喉がかわき、排尿回数多く、尿量減少して残尿感がある場合と、逆に尿量が増大する場合があり、特に夜間多尿のもの。血糖増加による口渇、糖尿病、動脈硬化、慢性腎炎、ネフローゼ、萎縮腎、膀胱カタル、浮腫、陰萎、坐骨神経痛、産後脚気、更年期障害、老人性の湿疹、低血圧。,,水製乾燥エキス(5.3g),ジオウ(5.0g)、サンシュユ(3.0g)、サンヤク(3.0g)、タクシャ(3.0g)、ブクリョウ(3.0g)、ボタンピ(3.0g)、ケイヒ(1.0g)、ブシ末2(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,9.0g,通常、成人1日9.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。ブシを含む製剤との併用には、特に注意すること。,
コタロー半夏厚朴湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000592,半夏厚朴湯,,精神不安があり、咽喉から胸元にかけてふさがるような感じがして、胃部に停滞膨満感のあるもの。通常消化機能悪く、悪心や嘔吐を伴うこともあるもの。気管支炎、嗄声、咳嗽発作、気管支喘息、神経性食道狭窄、胃弱、心臓喘息、神経症、神経衰弱、恐怖症、不眠症、つわり、その他嘔吐症、更年期神経症、浮腫、神経性頭痛。,,水製乾燥エキス(2.2g),ハンゲ(6.0g)、ブクリョウ(5.0g)、コウボク(3.0g)、ソヨウ(2.0g)、ショウキョウ(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー半夏瀉心湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00006255,半夏瀉心湯,,胃部がつかえ、悪心や嘔吐があり、食欲不振で舌苔や胃部に水分停滞感があり、腹鳴をともなって下痢するもの、あるいは軟便や粘液便を排出するもの。急性・慢性胃腸カタル、はっ酵性下痢、消化不良、口内炎、つわり。,,水製乾燥エキス(5.0g),ハンゲ(5.0g)、オウゴン(2.5g)、カンキョウ(2.5g)、カンゾウ(2.5g)、タイソウ(2.5g)、ニンジン(2.5g)、オウレン(1.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,7.5g,通常、成人1日7.5gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.2、11.1.3参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー半夏白朮天麻湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000195,半夏白朮天麻湯,,冷え症、アトニー体質で疲労しやすく、頭痛、頭重、めまい、肩こりなどがあり、ときには悪心、嘔吐などを伴うもの。胃アトニー症、胃腸虚弱者、または低血圧症に伴う頭痛、めまい。,,水製乾燥エキス(6.2g),ソウジュツ(3.0g)、チンピ(3.0g)、ハンゲ(3.0g)、ビャクジュツ(3.0g)、ブクリョウ(3.0g)、テンマ(2.0g)、バクガ(2.0g)、オウギ(1.5g)、タクシャ(1.5g)、ニンジン(1.5g)、オウバク(1.0g)、カンキョウ(1.0g)、ショウキョウ(0.5g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,9.0g,通常、成人1日9.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー白虎加人参湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000594,白虎加人参湯,,のどの渇きとほてりのあるもの,,水製乾燥エキス(8.0g),セッコウ(15.0g)、コウベイ(8.0g)、チモ(5.0g)、ニンジン(3.0g)、カンゾウ(2.0g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,12.0g,通常、成人1日12.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー茯苓飲エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00000196,茯苓飲,,胃部がつかえて膨満感があり、胃液の分泌が過多で悪心、嘔吐や食欲不振があって尿量減少するもの。胃炎、胃下垂、胃アトニー、胃神経症、胃拡張、溜飲症、消化不良。,,水製乾燥エキス(3.8g),ブクリョウ(5.0g)、ビャクジュツ(4.0g)、チンピ(3.0g)、ニンジン(3.0g)、キジツ(1.5g)、ショウキョウ(0.8g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー平胃散エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00016353,平胃散,,消化不良を伴う胃痛、腹痛、食欲減退、あるいは食後腹鳴があり、下痢しやすいもの。口内炎、胃炎、胃アトニー、胃拡張。,,水製乾燥エキス(4.0g),ソウジュツ(4.0g)、コウボク(3.0g)、チンピ(3.0g)、タイソウ(2.0g)、カンゾウ(1.0g)、ショウキョウ(0.5g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,6.0g,通常、成人1日6.0gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.1、11.1.2参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
コタロー防已黄耆湯エキス細粒,https://www.kegg.jp/medicus-bin/japic_med?japic_code=00004766,防已黄耆湯,,水ぶとりで皮膚の色が白く、疲れやすくて、汗をかきやすいか、または浮腫があるもの。関節炎、関節リウマチ、肥満症、多汗症。,,水製乾燥エキス(4.8g),オウギ(5.0g)、ボウイ(5.0g)、タイソウ(3.0g)、ビャクジュツ(3.0g)、カンゾウ(1.5g)、ショウキョウ(0.8g),ステアリン酸マグネシウム、トウモロコシデンプン、乳糖水和物、プルラン、メタケイ酸アルミン酸マグネシウム,7.5g,通常、成人1日7.5gを2〜3回に分割し、食前又は食間に経口投与する。なお、年齢、体重、症状により適宜増減する。,8.1　本剤の使用にあたっては、患者の証（体質・症状）を考慮して投与すること。なお、経過を十分に観察し、症状・所見の改善が認められない場合には、継続投与を避けること。8.2　本剤にはカンゾウが含まれているので、血清カリウム値や血圧値等に十分留意すること。［10.2、11.1.2、11.1.3参照］8.3　他の漢方製剤等を併用する場合は、含有生薬の重複に注意すること。,
